Longitude,Latitude,OBJECTID,STSSN_ID,YEAR_,MONTH_,DAY_,Commonname,County,CONDITION,CLSL,CWSL,CLOC,CWOC
-81.26520312,29.85510566,52458,EDS2003091701,2003,9,17,Loggerhead,St. Johns,Moderately decomposed,0,0,67,65
-82.18850329,26.67780487,52459,EMH2003091701,2003,9,17,Green turtle,Lee,Fresh dead,61.9,48.2,66.2,59
-80.44720281,27.8595052,52460,GWH2003091701,2003,9,17,Green turtle,Indian River,Severely decomposed,0,23,0,0
-80.44510281,27.8561052,52461,LWH2003091701,2003,9,17,Loggerhead,Indian River,Moderately decomposed,0,0,76,63
-80.80680294,28.61960538,52462,MXE2003091801,2003,9,18,Green turtle,Brevard,Moderately decomposed,43.2,30.5,50.8,41.3
-80.91190287,24.76580441,52463,TMB2003091801,2003,9,18,Green turtle,Monroe,Fresh dead,41.2,32.4,43.3,36.8
-80.08880268,26.995705,52464,MXR2003091901,2003,9,19,Loggerhead,Martin,Severely decomposed,0,0,92,85
-80.6633028,24.91670446,52465,SAS2003091901,2003,9,19,Green turtle,Monroe,Alive,39.4,32.4,42,36
-80.98060301,29.17530551,52466,BEL2003092001,2003,9,20,Loggerhead,Volusia,Severely decomposed,58.2,52.9,61,64.5
-80.57380286,28.11730526,52467,CCS2003092002,2003,9,20,Loggerhead,Brevard,Fresh dead,0,0,32,27.5
-80.23030273,27.33160508,52468,RMH2003092001,2003,9,20,Loggerhead,St. Lucie,Severely decomposed,91.9,74,98.1,93.8
-80.37600272,25.27090455,52469,SAS2003092001,2003,9,20,Green turtle,Monroe,Alive,52.8,41.7,54.7,48.5
-80.59150287,28.40350533,52470,AXS2003092101,2003,9,21,Loggerhead,Brevard,Severely decomposed,0,0,0,0
-80.59260287,28.40120533,52471,AXS2003092102,2003,9,21,Loggerhead,Brevard,Severely decomposed,0,0,68,62
-81.22900311,29.70770563,52472,RJD2003092001,2003,9,21,Loggerhead,St. Johns,Fresh dead,0,0,60,58
-80.58980287,28.40710533,52473,ABM2003092201,2003,9,22,Loggerhead,Brevard,Severely decomposed,0,48.3,0,0
-82.78240349,27.78310512,52474,GRH2003092201,2003,9,22,Kemp's ridley,Pinellas,Severely decomposed,44.3,39.6,48,40.5
-81.02930303,29.27290553,52475,JEB2003092201,2003,9,22,Loggerhead,Volusia,Severely decomposed,61,51,64.1,54.8
-80.99510289,24.7322044,52476,JFH2003092201,2003,9,22,Loggerhead,Monroe,Severely decomposed,96.3,69.3,102,87.2
-80.51410284,27.90800521,52477,KAR2003092201,2003,9,22,Loggerhead,Brevard,Fresh dead,41.2,32.3,43.9,37.1
-81.29560313,29.89410567,52478,KRC2003092201,2003,9,22,Green turtle,St. Johns,Alive,31.1,24.8,32.4,27.4
